anime_id,title,studio,promo_link,overal_rank,mean_score,avg_sentiment_score,positive_keywords,negative_keywords
26,Texhnolyze,Madhouse,https://www.youtube.com/embed/Z19QTGvwg9I?enablejsapi=1&wmode=opaque&autoplay=1,1198,8,0.0627,"reason, direction, purpose, style, opening","cliches, violence, ride, story, people"
27,Trinity Blood,Gonzo,https://www.youtube.com/embed/35GXUVBRIEM?enablejsapi=1&wmode=opaque&autoplay=1,2977,7,0.1100,"landmarks, direction, story, twist, hands","copy, friends, girls, fashion, list"
28,Yakitate!! Japan,Sunrise,https://www.youtube.com/embed/xs6xzznC9tY?enablejsapi=1&wmode=opaque&autoplay=1,827,8,0.2284,"characters, jokes, bread, job, sort","puns, sense, category, logic, jokes"
29,Zipang,Studio Deen,,2055,7,0.0780,"slink, ship, subjects, technology, isekai",destroyer
30,Shinseiki Evangelion,Gainax,,240,8,0.0871,"anime, attempts, gigantor, underwhelming, pains","father, war, problem, anime, story"
31,Shinseiki Evangelion Movie: Shi to Shinsei,Gainax,https://www.youtube.com/embed/eI8aUqsCovo?enablejsapi=1&wmode=opaque&autoplay=1,2048,7,0.1177,"movie, ig, gainax, anno, works","segment, fans, example"
32,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Gainax,https://www.youtube.com/embed/v1pWyWIu8x4?enablejsapi=1&wmode=opaque&autoplay=1,118,9,0.0972,"understanding, conclusion, anime, ig, gainax","scenes, characters, masterwork, piece, film"
33,Kenpuu Denki Berserk,OLM,https://www.youtube.com/embed/5g5uPsKDGYg?enablejsapi=1&wmode=opaque&autoplay=1,102,9,0.1313,"story, surprise, anime, balance, work","news, laughter, mortals, flaws, beings"
43,Koukaku Kidoutai,Production I.G,https://www.youtube.com/embed/8RF09G8Ymqg?enablejsapi=1&wmode=opaque&autoplay=1,332,8,0.1176,"movie, pacing, saying, topic, detail","narrative, approach, anime, soldiers, atmosphere"
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,,,66,9,,,
45,Rurouni Kenshin: Meiji Kenkaku Romantan,Gallop,,312,8,0.1071,"anime, story, person, samurai, parallels","past, adventures, excuses, assassin, soldier"
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,,,1800,8,,,
47,Akira,Tokyo Movie Shinsha,https://www.youtube.com/embed/lG2WL9brJr0?enablejsapi=1&wmode=opaque&autoplay=1,471,8,0.1610,"movie, piece, anime, characters, bulk","bloodbath, gang, movie, viewers"
48,.hack//Sign,Bee Train,https://www.youtube.com/embed/fPYF8rmP6Es?enablejsapi=1&wmode=opaque&autoplay=1,4760,7,0.1019,"music, animes, narrative, injustice, friends","case, kids, teenagers, terms"
49,Aa! Megami-sama!,,,2986,7,,,
50,Aa! Megami-sama! (TV),AIC,https://www.youtube.com/embed/fohHBnpCoeI?enablejsapi=1&wmode=opaque&autoplay=1,2852,7,0.1590,"anime, art, style, viewing, lead","parts, characters, luck"
51,Tenshi Kinryouku,,,8845,6,,,
52,Kidou Tenshi Angelic Layer,,,3121,7,,,
53,Ai Yori Aoshi,J.C.Staff,https://www.youtube.com/embed/4wyQ6ZAojI8?enablejsapi=1&wmode=opaque&autoplay=1,4000,7,0.2217,"anime, story, character, storytelling, points","action, girl"
54,Appleseed (Movie),,,4235,7,,,
55,Arc the Lad,,,7332,6,,,
56,Avenger,,,10958,6,,,
57,Beck,Madhouse,https://www.youtube.com/embed/GNgReTHy1EA?enablejsapi=1&wmode=opaque&autoplay=1,307,8,0.1875,"anime, band, plays, moments, music","ennui, anime, boy"
58,Blue Gender,AIC,https://www.youtube.com/embed/AWqlHQCaTgU?enablejsapi=1&wmode=opaque&autoplay=1,4443,7,0.0861,"anime, job, action, title, estimate","insects, world, hope, setting, sleep"
59,Chobits,Madhouse,https://www.youtube.com/embed/DxsPKYq4OSc?enablejsapi=1&wmode=opaque&autoplay=1,2490,7,0.1587,"anime, characters, girl, stories, genre","relationships, art, protag, watcher"
60,Chrno Crusade,,,1644,8,,,
61,D.N.Angel,,,3760,7,,,
62,D.C.: Da Capo,,,6062,7,,,
64,Rozen Maiden,,,2418,7,,,
65,Rozen Maiden: Träumend,,,1577,8,,,
66,Azumanga Daiou The Animation,J.C.Staff,https://www.youtube.com/embed/uMmnNsIwTg8?enablejsapi=1&wmode=opaque&autoplay=1,602,8,0.1516,"comedy, story, slice, daioh, reason","story, mood, pleasure, humor, daioh"
67,Basilisk: Kouga Ninpou Chou,Gonzo,https://www.youtube.com/embed/GcxYkQ7OOrM?enablejsapi=1&wmode=opaque&autoplay=1,1892,8,0.1755,"anime, characters, graphics, comparison, shonens","deaths, sort, match, romeo"
68,Black Cat,Gonzo,https://www.youtube.com/embed/1X1RlSg8DYI?enablejsapi=1&wmode=opaque&autoplay=1,2856,7,0.1102,"anime, laugh, sparks, points, better(thats","wimp, storylines, anime, etc, assassin"
69,Cluster Edge,,,8415,6,,,
71,Full Metal Panic!,Gonzo,https://www.youtube.com/embed/wV6l4LmvE0s?enablejsapi=1&wmode=opaque&autoplay=1,1665,8,0.1395,"scenes, girl, recommendations, situations, shows","people, combination, characters, war, villains"
72,Full Metal Panic? Fumoffu,Kyoto Animation,https://www.youtube.com/embed/UaZEknOT0HA?enablejsapi=1&wmode=opaque&autoplay=1,665,8,0.2306,"situations, life, laugh, options, arc",mix
73,Full Metal Panic! The Second Raid,Kyoto Animation,https://www.youtube.com/embed/AaDjVWWBkmg?enablejsapi=1&wmode=opaque&autoplay=1,837,8,0.2079,"plot, anime, pacing, piece, scripting","episodes, sequel, pacing, side, foes"
74,Gakuen Alice,Group TAC,,1507,8,0.2643,"anime, friend, animes, premise, episode",twists
75,Soukyuu no Fafner: Dead Aggressor,,,3152,7,,,
76,Mahou Shoujo Lyrical Nanoha,,,2391,7,,,
77,Mahou Shoujo Lyrical Nanoha A's,,,756,8,,,
80,Kidou Senshi Gundam,Sunrise,https://www.youtube.com/embed/QeNKubtJB1A?enablejsapi=1&wmode=opaque&autoplay=1,1147,8,0.1459,"anime, coming, guys, i&rsquo;m, work","animation, guys, work"
81,Kidou Senshi Gundam: Dai 08 MS Shoutai,Sunrise,https://www.youtube.com/embed/HJVC_d1tMLc?enablejsapi=1&wmode=opaque&autoplay=1,701,8,0.1900,"action, anime, animes, take, story","fodder, war, story"
82,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,,,698,8,,,
84,Kidou Senshi Gundam 0083: Stardust Memory,,,3377,7,,,
85,Kidou Senshi Zeta Gundam,Sunrise,https://www.youtube.com/embed/WX1sTTLIXAM?enablejsapi=1&wmode=opaque&autoplay=1,875,8,0.1663,"animation, idea, scale, ones, gunshot","war, characters, plateaus, adventure, guys"
86,Kidou Senshi Gundam ZZ,Sunrise,,6205,7,0.0715,"story, half, cast, anime, suit","gundam, episodes, zz, press, anime"
87,Kidou Senshi Gundam: Gyakushuu no Char,,,1391,8,,,
89,Kidou Senshi Victory Gundam,,,5993,7,,,
90,Shin Kidou Senki Gundam Wing,Sunrise,https://www.youtube.com/embed/ImR8f701y_Q?enablejsapi=1&wmode=opaque&autoplay=1,1445,8,0.1564,"designs, anime, amount, share, weapons","assery, boi, idea, ones"
91,Shin Kidou Senki Gundam Wing: Endless Waltz,,,1244,8,,,
92,Kidou Shinseiki Gundam X,Sunrise,https://www.youtube.com/embed/e_hgiBaLohk?enablejsapi=1&wmode=opaque&autoplay=1,2712,7,0.1195,"gundam, piece, idea, mentor, entries","reputation, shows, war, girl, slot"
93,Kidou Senshi Gundam SEED,Sunrise,https://www.youtube.com/embed/xuveD0juESE?enablejsapi=1&wmode=opaque&autoplay=1,1225,8,0.1835,"anime, coordinators, combination, score, deal","revelations, off, situations, deeds, lengths"
94,Kidou Senshi Gundam SEED Destiny,,,3617,7,,,
95,Turn A Gundam,,,1093,8,,,
96,Kidou Butouden G Gundam,Sunrise,,1710,8,0.1208,"fights, anime, concept, factor, humor","politics, order, designs, robot"
97,Last Exile,,,1121,8,,,
98,Mai-HiME,,,2470,7,,,
99,Mai-Otome,Sunrise,,3041,7,0.1832,"anime, material, otome, praise, choice",reputation
100,Shin Shirayuki-hime Densetsu Prétear,,,3736,7,,,
101,Air,Kyoto Animation,https://www.youtube.com/embed/9oTsWYOUZHU?enablejsapi=1&wmode=opaque&autoplay=1,3068,7,0.1435,"animation, batch, story, studio, amount","anime, story, concept, season, events"
102,Aishiteruze Baby★★,TMS Entertainment,,2290,7,0.1753,"anime, story, events, journey, kindergartener","admirer, playboy, kindergartener, comments, mother"
103,Akazukin Chacha,Gallop,,2372,7,0.2706,"deplete, job, kingdom, wizard, princess",king
104,Ayashi no Ceres,Studio Pierrot,,3593,7,0.1999,"story, action, days, girl""trope, powers","moments, angle, grandpa, reverse, rip"
105,Boys Be...,,,7987,6,,,
106,Hana yori Dango,Toei Animation,,1758,8,0.1249,"ending, plot, men, romance, story","non, experiences, friendships, conclusions, anime"
107,Ou Dorobou Jing,,,3630,7,,,
108,Ou Dorobou Jing in Seventh Heaven,,,3295,7,,,
109,Bakuretsu Tenshi,Gonzo,https://www.youtube.com/embed/sJPAdfcB8ck?enablejsapi=1&wmode=opaque&autoplay=1,5615,7,0.1729,"anime, post, gonzo, guy, story","pleasure, choice, taste, characters, story"
110,Chuuka Ichiban!,Nippon Animation,,1661,8,0.2164,"cliffhangers, chef, power, cabbage","fashion, sensation, technique"
111,Corrector Yui,Nippon Animation,,5149,7,0.1908,"girl, anime, characters, design",
112,Chou Henshin Cosprayers,,,13813,5,,,
113,Uchuu no Stellvia,Xebec,,2829,7,0.1544,"art, ppl",personalities
114,Sakigake!! Cromartie Koukou,Production I.G,,886,8,0.1049,"comedy, girls, anime, genres, fan","anime, catchprases, amount, nature, elements"
115,Ijigen no Sekai El-Hazard,AIC,,5629,7,-0.1257,feel,"judgment, ballad, comedy, chain, art"
116,Shinpi no Sekai El-Hazard (TV),,,4802,7,,,
117,Shinpi no Sekai El-Hazard,,,3227,7,,,
118,Shinpi no Sekai El-Hazard Season 2,,,5680,7,,,
119,Final Approach,,,7243,7,,,
120,Fruits Basket,,,1374,8,,,
121,Fullmetal Alchemist,Bones,,535,8,0.2044,"anime, deal, understanding, story, list","death, mentioning, cults, parts"
122,Full Moon wo Sagashite,Studio Deen,,798,8,0.2066,"characters, anime, animes, colours, singer",anime
123,Fushigi Yuugi,Studio Pierrot,,1650,8,0.1511,"notes, friend, experiences, shows, character-","tension, dialog, intensity, reasons, tropes"
124,Fushigi Yuugi: Eikouden,,,5551,7,,,
125,Futakoi,Telecom Animation Film,,7821,6,0.0437,"girls, story, quality","ost, girls"
126,Futakoi Alternative,,,5327,7,,,
127,Gate Keepers,,,4937,7,,,
128,Gate Keepers 21,,,5883,7,,,
129,Gensoumaden Saiyuuki,Studio Pierrot,,1900,8,0.1308,"anime, scenes, storyteller, gem, shows","demon, demons, man, additude, voices"
130,Saiyuuki Reload,Studio Pierrot,,2599,7,0.2119,"share, job, expectations",project
131,Saiyuuki Reload Gunlock,,,2541,7,,,
132,GetBackers,,,1769,8,,,
133,Green Green,,,9500,6,,,
134,Gunslinger Girl,Madhouse,https://www.youtube.com/embed/4kDREBAIA9A?enablejsapi=1&wmode=opaque&autoplay=1,2517,7,0.1260,"job, family, commentary, action, construction","it&rsquo;s, characters, guy, i&rsquo;m, parts"
135,Hikaru no Go,Studio Pierrot,,583,8,0.1115,"anime, rating, player, job, moments","image, backstories, game, opponent"
136,Hunter x Hunter,Nippon Animation,,186,8,0.1466,"anime, hunter, individuals, animals, animes","hunters, powers, designs, visuals, situations"
137,Hunter x Hunter: Original Video Animation,,,289,8,,,
138,Hunter x Hunter: Greed Island,,,438,8,,,
139,Hunter x Hunter: Greed Island Final,,,353,8,,,
141,Jinki:Extend,,,9947,6,,,
142,Kamikaze Kaitou Jeanne,,,2133,7,,,
143,Kannazuki no Miko,,,5481,7,,,
144,Kanon,,,4188,7,,,
145,Kareshi Kanojo no Jijou,Gainax,https://www.youtube.com/embed/KA_JwkKBtL8?enablejsapi=1&wmode=opaque&autoplay=1,1627,8,0.1943,"athletes, anime, student, manga, person","ending, artwork, parts, characters"
146,Kono Minikuku mo Utsukushii Sekai,,,6105,7,,,
147,Kimi ga Nozomu Eien,Studio Fantasia,https://www.youtube.com/embed/KGt9cyITCWg?enablejsapi=1&wmode=opaque&autoplay=1,3692,7,0.1042,"anime, mess, marriage, harem, mitsuki","anime, lives, task, person, days"
148,Kita e.: Diamond Dust Drops,,,6913,7,,,
150,Blood+,Production I.G,https://www.youtube.com/embed/mjJ1W08vCKM?enablejsapi=1&wmode=opaque&autoplay=1,1642,8,0.1481,"anime, story, details, ones, device","setting, voice, moments, timelines, admit"
152,Solty Rei,Gonzo,https://www.youtube.com/embed/VsNf2QE7QZU?enablejsapi=1&wmode=opaque&autoplay=1,3224,7,0.1203,"anime, up, start, deals, strength","standard, incident, idea"
153,Juuni Kokuki,Studio Pierrot,https://www.youtube.com/embed/cHyqJuD2a3s?enablejsapi=1&wmode=opaque&autoplay=1,672,8,0.1376,"story, man, land, characterisation, animes","beginning, girl, narrative, character, cancellation"
154,Shaman King,Xebec,,1244,8,0.1572,"anime, animes, feeling, work, guy","shounen, characters, guy, news, ones"
156,X,Madhouse,https://www.youtube.com/embed/nwrQmqU8IyM?enablejsapi=1&wmode=opaque&autoplay=1,2539,7,0.1818,"anime, characters, reasons, storyline, animation","backstories, x"
157,Mahou Sensei Negima!,,,4860,7,,,
158,Maria-sama ga Miteru,Studio Deen,,3042,7,0.1537,"scene, anime, guy, deal, bet","action, melodrama"
159,Boukyaku no Senritsu,J.C.Staff,,8781,6,0.0171,"directions, warrior, failure, anime","war, humor, images, characterization, dialogue"
160,"Ima, Soko ni Iru Boku",AIC,https://www.youtube.com/embed/BsYY0ReMGz0?enablejsapi=1&wmode=opaque&autoplay=1,1760,8,0.1019,"directing, anime, writing, resources, feelings","drama, look, loss, reality, state"
161,Peace Maker Kurogane,,,2946,7,,,
162,Pita Ten,,,4875,7,,,
163,Power Stone,Studio Pierrot,,7487,6,0.2085,"art, ol'",
164,Mononoke Hime,Studio Ghibli,https://www.youtube.com/embed/I1dHzoRl0sQ?enablejsapi=1&wmode=opaque&autoplay=1,75,9,0.2349,"away, film, studio, movies, works","humanity, mc, turn"
165,RahXephon,Bones,https://www.youtube.com/embed/HRznqtSM8Tw?enablejsapi=1&wmode=opaque&autoplay=1,2580,7,0.1300,"anime, reviews, animation, plot, ending","invaders, scramble, bull!@#$, charcters, music"
166,Samurai 7,Gonzo,https://www.youtube.com/embed/fUrZo3ebbps?enablejsapi=1&wmode=opaque&autoplay=1,2278,7,0.1626,"story, movies, characters, samurai, judging","mess, ending, episodes, samurai"
167,Scrapped Princess,Bones,https://www.youtube.com/embed/B0NwbDAZz5Q?enablejsapi=1&wmode=opaque&autoplay=1,2600,7,0.1174,"drama, mix, touch, ending, designs","fashion, actions, turns, anime"
168,s.CRY.ed,Sunrise,https://www.youtube.com/embed/JQqQiEluNzU?enablejsapi=1&wmode=opaque&autoplay=1,2657,7,0.1477,"animes, anime, music, ideas, characters","ass, characterics"
169,Shingetsutan Tsukihime,,,5596,7,,,
170,Slam Dunk,Toei Animation,,127,9,0.1852,"anime, manga, percentage, jokes, speeches","storyline, move, jokes"
173,Tactics,Studio Deen,,3558,7,0.2206,"anime, characters, piece, list, example",
175,Tokyo Underground,Studio Pierrot,,6757,7,0.0167,"boy, day, heart, fighter","girl, path, underground, guys, purposes"
176,Triangle Heart: Sweet Songs Forever,,,9713,6,,,
177,Tsubasa Chronicle,Bee Train,https://www.youtube.com/embed/MZEV9QQdWO4?enablejsapi=1&wmode=opaque&autoplay=1,1986,8,0.1231,"anime, presentation, appointments, idea, characters",smiley
178,Ultra Maniac,Ashi Productions,,3737,7,0.2139,"anime, story, friends, points, twist",
179,Ultra Maniac OVA,,,6518,7,,,
180,Vandread,,,3745,7,,,
181,Vandread: The Second Stage,,,2550,7,,,
182,Tenkuu no Escaflowne,Sunrise,https://www.youtube.com/embed/YNTYLr3PF-A?enablejsapi=1&wmode=opaque&autoplay=1,1488,8,0.1469,"anime, kawamori, staff, runners, payoff","chicks, encounter, empire"
183,Whistle!,,,2614,7,,,
184,Xenosaga The Animation,,,8335,6,,,
185,Initial D First Stage,Gallop,,237,8,0.1895,"character, talent, comedy, idea, animes","friends, it&rsquo;s, interest, teenager, plenty"
186,Initial D Second Stage,Pastel,,423,8,0.1735,"introduction, continuation, potential, standard, story","relief, luck"
187,Initial D Third Stage,Studio Deen,,839,8,0.1975,"job, racers, movie, continuation, driver",
189,Love Hina,Xebec,https://www.youtube.com/embed/WQTp0KZO1DI?enablejsapi=1&wmode=opaque&autoplay=1,4046,7,0.1104,"harem, story, manga, plot, genre","anime, mob, quests, character, characters"
191,Love Hina Christmas Special: Silent Eve,Xebec,,2885,7,0.2484,"view, lessons",volume
193,Maburaho,,,5922,7,,,
194,Macross Zero,,,2085,7,,,
195,Onegai☆Teacher,Daume,https://www.youtube.com/embed/edAOr7fhjAI?enablejsapi=1&wmode=opaque&autoplay=1,4059,7,0.0950,"ideas, characters, share, highs, plot","points, romance, situations, moments, story"
196,Onegai☆Twins,,,5494,7,,,
197,Rizelmine,,,7294,6,,,
198,Speed Grapher,Gonzo,https://www.youtube.com/embed/gxluGU_jnBs?enablejsapi=1&wmode=opaque&autoplay=1,2959,7,0.1007,"story, anime, comedy, job, turnouts","experience, setting, simile, truths, power"
199,Sen to Chihiro no Kamikakushi,Studio Ghibli,https://www.youtube.com/embed/ByXuk9QqQkk?enablejsapi=1&wmode=opaque&autoplay=1,41,9,0.2109,"away, film, piece, features, imagination","story, feeling, news, strore, pig"
200,Tenshi na Konamaiki,TMS Entertainment,,2340,7,0.2333,"book, story, anime, girl, laugh","secret, life, artwork, delinquent, drama"
201,Video Girl Ai,,,3502,7,,,
202,Wolf's Rain,Bones,https://www.youtube.com/embed/iqFpI__mdTI?enablejsapi=1&wmode=opaque&autoplay=1,1095,8,0.1534,"work, soundtrack, amount, bonds, music","story, character, feel, fault, storyline"
205,Samurai Champloo,Manglobe,,142,9,0.1794,"story, frontier, work, scores, result",games
206,Lodoss-tou Senki: Eiyuu Kishi Den,,,3966,7,,,
207,Lodoss-tou Senki,Madhouse,https://www.youtube.com/embed/qti10Nd9o5c?enablejsapi=1&wmode=opaque&autoplay=1,2804,7,0.1668,"anime, literature, works, popularity, feeling","heroes, battles, anime, novels"
208,R.O.D: Read or Die,,,1625,8,,,
209,R.O.D: The TV,J.C.Staff,,1965,8,0.1985,"characters, anime, writer, ovas, adventure","plot, people, lines, guys"
210,Ranma ½,Studio Deen,https://www.youtube.com/embed/bjnLpR_jdQo?enablejsapi=1&wmode=opaque&autoplay=1,1153,8,0.1456,"anime, story, characters, reason, bath","attempts, water, episode, junk, intervals"
212,Project A-Ko,,,5199,7,,,
218,Kidou Senkan Nadesico,Xebec,,2071,7,0.1743,"anime, mixture, category, prank, shows","anime, category, level, mistake, beast"
219,Kidou Senkan Nadesico: The Prince of Darkness,Xebec,,5911,7,0.1212,"parts, movie, conclusion, day",crowd
222,Mezzo DSA,,,6563,7,,,
223,Dragon Ball,Toei Animation,https://www.youtube.com/embed/fg_fP7cRJXg?enablejsapi=1&wmode=opaque&autoplay=1,714,8,0.1257,"anime, animation, sequel, story, characters","sauce, idiot, guys, type, boy"
225,Dragon Ball GT,Toei Animation,,7149,7,0.1447,"anime, points, ending, story, finale","🥴, characters, popular, majority"
226,Elfen Lied,Arms,https://www.youtube.com/embed/IItTqRrRkqI?enablejsapi=1&wmode=opaque&autoplay=1,2175,7,0.0754,"anime, taste, ideas, task, attempt","mess, questions, shot, scene, massacre"
227,FLCL,Gainax,https://www.youtube.com/embed/yYTnHjD6GuE?enablejsapi=1&wmode=opaque&autoplay=1,633,8,0.0481,"story, visuals, powers, creativity, neon","appearance, fan, idea, entertainment, worlds"
228,Jigoku Shoujo,Studio Deen,https://www.youtube.com/embed/8sIz_taLR8k?enablejsapi=1&wmode=opaque&autoplay=1,1624,8,0.0911,"anime, characters, girl, parts, story","stories, experience, half, girl, will"
229,Ninin ga Shinobuden,,,5112,7,,,
230,Air Master,Toei Animation,,4762,7,0.1477,"development, power, anime, away, manga","anime, work, characters, plot, hobos"
231,Asagiri no Miko,,,9646,6,,,
232,Cardcaptor Sakura,Madhouse,https://www.youtube.com/embed/luM4oGFSpT8?enablejsapi=1&wmode=opaque&autoplay=1,431,8,0.2373,"girl, type, animes, anime, mahou","tropes, actors.never"
233,Daa! Daa! Daa!,J.C.Staff,,1539,8,0.2049,"friend, anime, moments, baby, slice",plot
234,Dan Doh!!,,,6443,7,,,
235,Meitantei Conan,TMS Entertainment,,447,8,0.1349,"anime, skill, mysteries, detective, friend","trade, murders, bullshit, guys, deal"
236,E's Otherwise,Studio Pierrot,,6777,7,0.1235,anime,
237,Koukyoushihen Eureka Seven,Bones,https://www.youtube.com/embed/W6DdmPA6Ye0?enablejsapi=1&wmode=opaque&autoplay=1,614,8,0.2108,"anime, soundtrack, music, soundtracks, robots","developments, cliche, heroes, wretches, audience"
238,Rekka no Honoo,,,2729,7,,,
239,Gankutsuou,Gonzo,https://www.youtube.com/embed/kwjWBnWjWbc?enablejsapi=1&wmode=opaque&autoplay=1,536,8,0.1480,"adaptation, novels, adaptations, designs, entry","gankutsuou, spirits, ability"
240,Genshiken,Palm Studio,,1544,8,0.1386,"anime, convention, drama, study, fansub","art, shits, episode"
242,Gokusen,,,2364,7,,,
243,Gravitation,Studio Deen,,4937,7,0.1501,"anime, character, music, pairing, characters","past, direction, enemy, truth, score"
244,Agatha Christie no Meitantei Poirot to Marple,,,5057,7,,,
245,Great Teacher Onizuka,Studio Pierrot,,70,9,0.1518,"teacher, anime, characters, voice, loser","scenes, girl, humor, reviews, anachronistic"
246,Groove Adventure Rave,Studio Deen,https://www.youtube.com/embed/zUTWNo1fC4Q?enablejsapi=1&wmode=opaque&autoplay=1,3445,7,0.1557,"evil, stones, game, anime, character","power, organisation, taste, counterpart, story"
247,Harukanaru Toki no Naka de: Hachiyou Shou,Yumeta Company,,4521,7,0.0735,"era, issekai, character, story, scenes","folks, experience"
248,Ichigo 100%,Madhouse,,6612,7,0.1997,"feelings, animes, style, adventure, glimpse","excuse, anime"
249,InuYasha,Sunrise,https://www.youtube.com/embed/UCFBsLagBPk?enablejsapi=1&wmode=opaque&autoplay=1,908,8,0.1845,"story, anime, heart, premise, powers","fighter, guy, villagers"
250,Konjiki no Gash Bell!!,Toei Animation,,1838,8,0.1732,"anime, voice, amount, woman, job","adventures, fillers, cries, stories"
251,Kyou kara Maou!,Studio Deen,https://www.youtube.com/embed/Fh75ePlxyVI?enablejsapi=1&wmode=opaque&autoplay=1,1611,8,0.1736,"anime, characters, lines, genre, heart","ways, adventure"
252,Madlax,Bee Train,,4465,7,0.0719,"action, thriller, family","girl, action, length"
253,Jungle wa Itsumo Hare nochi Guu,Shin-Ei Animation,,1072,8,0.1784,"measure, mother, girl, person, reason","manga, comedy"
255,Jungle wa Itsumo Hare nochi Guu Final,,,1628,8,,,
256,Hoshi no Koe,CoMix Wave Films,https://www.youtube.com/embed/ldRznIwZeBc?enablejsapi=1&wmode=opaque&autoplay=1,4096,7,0.1195,"story, share, centimeters, form, idea","self, task, effect, distance, anime"
258,Hitsuji no Uta,,,9504,6,,,
259,Happy☆Lesson,,,6791,7,,,
260,Happy☆Lesson (TV),,,6633,7,,,
261,Happy☆Lesson Advance,,,5722,7,,,
262,Happy☆Lesson The Final,,,5724,7,,,
263,Hajime no Ippo,Madhouse,,35,9,0.1624,"anime, boxer, characters, backstories, studios","quote, hurdle, judgement, sport, kid"
264,Hajime no Ippo: Champion Road,,,351,8,,,
265,Hajime no Ippo: Mashiba vs. Kimura,,,352,8,,,
266,Gunparade March: Arata Naru Kougunka,,,6096,7,,,
267,Gungrave,Madhouse,https://www.youtube.com/embed/d7IkGbNBPxc?enablejsapi=1&wmode=opaque&autoplay=1,1060,8,0.1399,"anime, friend, idea, work, payoff","anime, parts, scene, means"
268,Golden Boy,APPP,,634,8,0.2436,"guys, anime, girls, protagonist, classic","idea, shows, job, scene"
269,Bleach,Studio Pierrot,https://www.youtube.com/embed/0yk5H6vvfG4?enablejsapi=1&wmode=opaque&autoplay=1,711,8,0.1578,"anime, adventures, artwork, adaptation, potential","guys, friends, powers, anime, points"
270,Hellsing,Gonzo,https://www.youtube.com/embed/6m35QEOYXqU?enablejsapi=1&wmode=opaque&autoplay=1,2019,8,0.1072,"anime, manga, characters, art, score","violence, images, filler, vampire, plot"
271,Gad Guard,,,6449,7,,,
272,Noir,,,3049,7,,,
273,Mahoutsukai ni Taisetsu na Koto,,,6192,7,,,
274,Kiddy Grade,Gonzo,https://www.youtube.com/embed/cef_kgNrC6c?enablejsapi=1&wmode=opaque&autoplay=1,3609,7,0.0849,"graphics, soundtrack, themes, superpowers, plots",guys
275,Love♥Love?,,,11060,6,,,
276,Mahoromatic: Automatic Maiden,,,3870,7,,,
278,Viewtiful Joe,,,5692,7,,,
279,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,TMS Entertainment,,4189,7,0.0552,"ogin, description, eerie","people, stories, ways, spirits, catchphrases"
280,Animal Yokochou,,,4384,7,,,
281,Akane Maniax,Silver,,11525,6,0.0477,"ova, development, protagonist, ecchi","storyline, affair, chick, idiot"
282,Angel Heart,TMS Entertainment,,3157,7,0.1581,"anime, points",points
